int	string	int	int	int[]	DTItemNum[]	DTItemNum	int[]	int	int	int	int	int	int	int	int	string[]	string[]
id	名称	图片路径	升档奖杯需求	升档解锁功能	升档奖励	每日奖励礼包	解锁院线	街区倍率	街区成本系数	街区档位院线加成	票房良好（万美元）	票房大卖（万美元）	票房超卖（万美元）	票房神话（万美元）	票房传奇（万美元）	当前档次信息	下一档次信息
id	zh_cn_name	pic	upgrade_req	upgrade_menu	upgrade_reward	daily_reward	cinema	level_multiple	level_con	theater_level_con	good	big_sell	great_sell	myth_sell	marvel_sell	zh_cn_current_msg	zh_cn_next_msg
1001	街区1档	4001	5	0	1:100;2:200	1;100	1001	150	100	100	3003	4004	5005	6006	7007	启动资金50万;每日领取奖励礼包1	启动资金100万;每日领取奖励礼包2
1002	街区2档	4001	10	0	1:100;2:200	1;100	1002	150	100	100	3006	4008	5010	6012	7014	启动资金50万;每日领取奖励礼包2	启动资金100万;每日领取奖励礼包3
1003	街区3档	4001	15	0	1:100;2:200	1;100	1003	150	100	100	3009	4012	5015	6018	7021	启动资金50万;每日领取奖励礼包3	启动资金100万;每日领取奖励礼包4
1004	街区4档	4001	20	0	1:100;2:200	1;100	1004	150	100	100	3012	4016	5020	6024	7028	启动资金50万;每日领取奖励礼包4	启动资金100万;每日领取奖励礼包5
1005	街区5档	4001	25	0	1:100;2:200	1;100	1005	150	100	100	3015	4020	5025	6030	7035	启动资金50万;每日领取奖励礼包5	启动资金100万;每日领取奖励礼包6
1006	街区6档	4001	30	0	1:100;2:200	1;100	2001;3001	150	100	110	3018	4024	5030	6036	7042	启动资金50万;每日领取奖励礼包6	启动资金100万;每日领取奖励礼包7
1007	街区7档	4001	35	0	1:100;2:200	1;100	2002;3002	150	100	110	3021	4028	5035	6042	7049	启动资金50万;每日领取奖励礼包7	启动资金100万;每日领取奖励礼包8
1008	街区8档	4001	40	0	1:100;2:200	1;100	2003;3003	150	100	110	3024	4032	5040	6048	7056	启动资金50万;每日领取奖励礼包8	启动资金100万;每日领取奖励礼包9
1009	街区9档	4001	45	0	1:100;2:200	1;100	2004;3004	150	100	110	3027	4036	5045	6054	7063	启动资金50万;每日领取奖励礼包9	启动资金100万;每日领取奖励礼包10
1010	街区10档	4001	50	0	1:100;2:200	1;100	2005;3005	150	100	110	3030	4040	5050	6060	7070	启动资金50万;每日领取奖励礼包10	启动资金100万;每日领取奖励礼包11
2001	城镇1档	4002	55	0	1:100;2:200	1;100	2001;3001	160	100	120	6003	8004	10005	12006	14007	启动资金50万;每日领取奖励礼包11	启动资金100万;每日领取奖励礼包12
2002	城镇2档	4002	60	0	1:100;2:200	1;100	2002;3002	160	100	120	6006	8008	10010	12012	14014	启动资金50万;每日领取奖励礼包12	启动资金100万;每日领取奖励礼包13
