int	int	string	int	string	int	int[]	int	DTItemNum[]	int	int[]	int[]	int
id	盈利等级	盈利名称	盈利图标	名称	订单数量	订单品质	期待值	固定掉落	掉落种类数量	掉落道具	道具数量	粉丝基数
id	gain_level	zh_cn_gain_name	gain_pic	zh_cn_name	order_num	oreder_qua	expect	fixed_drop	drop_num	drop_item	item_num	base_fans
10011	1	一般	6023	街区1档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	100
10012	2	良好	6024	街区1档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	110
10013	3	大卖	6025	街区1档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	120
10014	4	超级大卖	6026	街区1档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	130
10015	5	传奇	6027	街区1档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	140
10016	6	神话	6028	街区1档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	150
10021	1	一般	6023	街区2档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	160
10022	2	良好	6024	街区2档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	170
10023	3	大卖	6025	街区2档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	180
10024	4	超级大卖	6026	街区2档	5	100;50;25;12	20	7:12	5	4001;4002;4003;4004;4005;4006;4007	1;5	190
10025	5	传奇	6027	街区2档	6	100;50;25;12	25	7:12	6	4001;4002;4003;4004;4005;4006;4007	1;5	200
10026	6	神话	6028	街区2档	7	100;50;25;12	30	7:12	7	4001;4002;4003;4004;4005;4006;4007	1;5	210
10031	1	一般	6023	街区3档	2	100;50;25;12	5	7:12	2	4001;4002;4003;4004;4005;4006;4007	1;5	220
10032	2	良好	6024	街区3档	3	100;50;25;12	10	7:12	3	4001;4002;4003;4004;4005;4006;4007	1;5	230
10033	3	大卖	6025	街区3档	4	100;50;25;12	15	7:12	4	4001;4002;4003;4004;4005;4006;4007	1;5	240
