int	int	string	int	int[]	int	int	DTItemNum[]	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int[]	int[]	DTItemNum	int	int	int	int	int	int	int	int
城市id	城市编号	城市名称	街道数量	街道ID	路演费用	路演目标	城市占领奖励	大使1性别0=不做要求1101=女1102=男	大使1大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使1类型0=不做要求1401=演技派1402=偶像派	大使1年龄0=不做要求1501=青春型1502=成熟型	大使1场面0=不做要求	大使1表演0=不做要求	大使1剧情0=不做要求	大使1艺术0=不做要求	大使1娱乐0=不做要求	大使2性别0=不做要求1101=女1102=男	大使2大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使2类型0=不做要求1=演技派2=偶像派	大使2年龄0=不做要求1=成熟型2=清纯型	大使2场面0=不做要求	大使2表演0=不做要求	大使2剧情0=不做要求	大使2艺术0=不做要求	大使2娱乐0=不做要求	大使3性别0=不做要求1101=女1102=男	大使3大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使3类型0=不做要求1=演技派2=偶像派	大使3年龄0=不做要求1=成熟型2=清纯型	大使3场面0=不做要求	大使3表演0=不做要求	大使3剧情0=不做要求	大使3艺术0=不做要求	大使3娱乐0=不做要求	大使4性别0=不做要求1101=女1102=男	大使4大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使4类型0=不做要求1=演技派2=偶像派	大使4年龄0=不做要求1=成熟型2=清纯型	大使4场面0=不做要求	大使4表演0=不做要求	大使4剧情0=不做要求	大使4艺术0=不做要求	大使4娱乐0=不做要求	大使5性别0=不做要求1101=女1102=男	大使5大洲0=不做要求1201=美国1202=欧洲1203=亚洲	大使5类型0=不做要求1=演技派2=偶像派	大使5年龄0=不做要求1=成熟型2=清纯型	大使5场面0=不做要求	大使5表演0=不做要求	大使5剧情0=不做要求	大使5艺术0=不做要求	大使5娱乐0=不做要求	城市占领固定收益	城市占领随机收益	订单品质权重=白；蓝；橙；紫	订单数量	期待值	前置城市0表示没有前置城市	下一个城市	剧情动画	新手引导	国家ID	电影推广收益
id	city_num	zh_cn_name	street_num	street_id	show_cost	show_need	hold_reward	envoy1_sex	envoy1_Continents	envoy1_type	envoy1_age	envoy1_scene	envoy1_performance	envoy1_plot	envoy1_art	envoy1_entertainment	envoy2_sex	envoy2_Continents	envoy2_type	envoy2_age	envoy2_scene	envoy2_performance	envoy2_plot	envoy2_art	envoy2_entertainment	envoy3_sex	envoy3_Continents	envoy3_type	envoy3_age	envoy3_scene	envoy3_performance	envoy3_plot	envoy3_art	envoy3_entertainment	envoy4_sex	envoy4_Continents	envoy4_type	envoy4_age	envoy4_scene	envoy4_performance	envoy4_plot	envoy4_art	envoy4_entertainment	envoy5_sex	envoy5_Continents	envoy5_type	envoy5_age	envoy5_scene	envoy5_performance	envoy5_plot	envoy5_art	envoy5_entertainment	drop_out	random_out	order_qua	order_num	expect	pre_id	next_city	cut_scene	new_user_guide	country	popularize_id
1101	1	城市1	3	11001;11002;11003	5000	61	2:5000;9004:5	1102	0	0	0	1	0	0	0	0	0	0	0	1501	0	2	0	0	0	0	0	1401	0	0	0	3	0	0	0	1201	0	0	0	6	0	0	0	1102	0	0	0	0	6	0	0	0	8;60	6104;5005	100;50;25;12	8	100	0	1102	0	0	101	1101
1102	2	城市2	4	11004;11005;11006;11007	10000	76	2:10000;9004:5	0	0	0	1502	0	0	7	0	0	0	0	1401	0	0	9	0	0	0	0	1202	0	0	0	0	11	0	0	0	0	1402	0	0	12	0	0	0	1102	0	0	0	13	0	0	0	0	8;80	6104	100;50;25;12	8	100	1101	1103	0	0	101	1102
1103	3	城市3	4	11008;11009;11010;11011	15000	94	2:50000;9002:50	0	0	0	1501	0	14	0	0	0	0	0	1402	0	0	15	0	0	0	0	1202	0	0	16	0	0	0	0	1102	0	0	0	0	0	17	0	0	0	0	0	1502	0	0	18	0	0	17;120	6105;5005	100;50;25;12	8	100	1102	1104	0	0	101	1103
1104	4	城市4	4	11012;11013;11014;11015	30000	111	2:50000;9004:5	0	1201	0	0	0	19	0	0	0	0	0	1402	0	0	0	22	0	0	1102	0	0	0	0	22	0	0	0	0	0	0	1502	0	23	0	0	0	0	0	1401	0	25	0	0	0	0	17;140	6105	100;50;25;12	8	100	1103	1105	0	0	101	1104
1105	5	城市5	4	11016;11017;11018;11019	50000	178	2:50000;9004:5	0	1201	0	0	0	0	26	0	0	1101	0	0	0	0	26	0	0	0	0	0	0	1502	0	0	27	0	0	0	1202	0	0	28	0	0	0	0	0	0	0	1501	0	0	31	0	0	26;180	6103;5005	100;50;25;12	8	100	1104	1106	0	0	101	1105
1106	6	城市6	5	11020;11021;11022;11023;11024	60000	195	2:100000;9002:50	0	0	1402	0	0	0	31	0	0	0	1201	0	0	0	32	0	0	0	0	0	0	1501	33	0	0	0	0	0	0	1402	0	0	34	0	0	0	0	1202	0	0	0	36	0	0	0	26;200	6103	100;50;25;12	8	100	1105	1107	0	0	101	1106
1107	7	城市7	5	11025;11026;11027;11028;11029	70000	213	2:100000;9004:5	0	0	1401	0	0	0	37	0	0	0	0	0	1501	0	38	0	0	0	0	1201	0	0	39	0	0	0	0	0	0	1401	0	0	40	0	0	0	0	0	0	1502	41	0	0	0	0	35;200	6109;5005	100;50;25;12	8	100	1106	1108	0	0	101	1107
1108	8	城市8	5	11030;11031;11032;11033;11034	80000	230	2:100000;9004:5	1102	0	0	0	0	42	0	0	0	0	0	0	1502	0	0	43	0	0	0	0	1401	0	0	0	44	0	0	0	1201	0	0	0	45	0	0	0	0	1202	0	0	0	0	46	0	0	35;200	6109	100;50;25;12	8	100	1107	1109	0	0	101	1108
1109	9	城市9	5	11035;11036;11037;11038;11039	90000	247	2:150000;9002:50	0	0	0	1502	0	47	0	0	0	1101	0	0	0	48	0	0	0	0	0	1202	0	0	0	0	50	0	0	0	0	1402	0	0	50	0	0	0	0	1201	0	0	51	0	0	0	0	42;220	6102;5005	100;50;25;12	8	100	1108	1110	0	0	101	1109
1110	10	城市10	5	11040;11041;11042;11043;11044	100000	274	2:150000;9004:5	0	0	0	1501	0	52	0	0	0	0	0	1402	0	0	53	0	0	0	0	1202	0	0	0	0	54	0	0	0	0	0	1501	0	0	55	0	0	1102	0	0	0	55	0	0	0	0	42;220	6102	100;50;25;12	8	100	1109	1111	0	0	101	1110
1111	11	城市11	6	11045;11046;11047;11048;11049;11050	111000	328	2:150000;9004:5	0	1201	0	0	56	0	0	0	0	0	0	1402	0	0	0	57	0	0	0	0	0	1502	0	0	58	0	0	1102	0	0	0	0	59	0	0	0	0	1201	0	0	0	59	0	0	0	50;296	6104;6103;5005	100;50;25;12	8	100	1110	1112	0	0	101	1111
1112	12	城市12	6	11051;11052;11053;11054;11055;11056	122000	384	2:250000;9002:50	0	0	1401	0	59	0	0	0	0	0	1201	0	0	0	0	60	0	0	0	0	1402	0	0	62	0	0	0	0	0	0	1502	0	62	0	0	0	1101	0	0	0	0	0	63	0	0	50;296	6104;6109	100;50;25;12	8	100	1111	1113	0	0	101	1112
1113	13	城市13	6	11057;11058;11059;11060;11061;11062	133000	446	2:250000;9004:5	0	1202	0	0	64	0	0	0	0	0	0	1402	0	0	0	65	0	0	1102	0	0	0	0	66	0	0	0	0	0	0	1501	0	67	0	0	0	0	0	1401	0	0	68	0	0	0	60;375	6104;6102;5005	100;50;25;12	8	100	1112	1114	0	0	101	1113
1114	14	城市14	6	11063;11064;11065;11066;11067;11068	138000	504	2:250000;9004:5	0	1202	0	0	0	0	69	0	0	1101	0	0	0	69	0	0	0	0	0	0	1401	0	0	0	70	0	0	0	1201	0	0	0	71	0	0	0	0	0	0	1501	0	72	0	0	0	60;375	6105;6103	100;50;25;12	8	100	1113	1115	0	0	101	1114
1115	15	城市15	6	11069;11070;11071;11072;11073;11074	145000	576	2:350000;9002:50	0	0	0	1502	0	0	73	0	0	1102	0	0	0	0	73	0	0	0	0	1201	0	0	74	0	0	0	0	0	0	1401	0	0	0	75	0	0	0	1201	0	0	0	76	0	0	0	73;458	6105;6109;5005	100;50;25;12	8	100	1114	1116	0	0	101	1115
1116	16	城市16	7	11075;11076;11077;11078;11079;11080;11081	196000	644	2:350000;9004:5	0	0	1402	0	0	77	0	0	0	0	0	0	1502	78	0	0	0	0	0	1201	0	0	0	0	79	0	0	1101	0	0	0	0	0	79	0	0	0	0	1402	0	79	0	0	0	0	73;458	6105;6102	100;50;25;12	8	100	1115	1117	0	0	101	1116
1117	17	城市17	7	11082;11083;11084;11085;11086;11087;11088	229000	712	2:350000;9004:5	0	1202	0	0	0	80	0	0	0	0	0	0	1501	0	81	0	0	0	0	0	1401	0	0	0	82	0	0	0	1202	0	0	0	82	0	0	0	0	0	0	1501	0	0	83	0	0	87;538	6104;5005	100;50;25;12	8	100	1116	1118	0	0	101	1117
1118	18	城市18	7	11089;11090;11091;11092;11093;11094;11095	257000	792	2:530000;9002:50	1101	0	0	0	0	84	0	0	0	0	1201	0	0	85	0	0	0	0	0	0	0	1501	0	85	0	0	0	0	0	0	1502	0	0	86	0	0	1102	0	0	0	0	86	0	0	0	87;611	6104	100;50;25;12	8	100	1117	1119	0	0	101	1118
1119	19	城市19	7	11096;11097;11098;11099;11100;11101;11102	286000	1029	2:530000;9004:5	0	0	1401	0	0	0	87	0	0	0	0	1401	0	0	88	0	0	0	0	1201	0	0	0	89	0	0	0	0	0	1402	0	89	0	0	0	0	0	0	0	1502	0	0	90	0	0	104;611	6105;5005	100;50;25;12	8	100	1118	1120	0	0	101	1119
1120	20	城市20	7	11103;11104;11105;11106;11107;11108;11109	314000	1113	2:530000;9004:5	1101	0	0	0	0	91	0	0	0	0	1202	0	0	0	92	0	0	0	0	0	1402	0	92	0	0	0	0	1101	0	0	0	0	93	0	0	0	0	0	0	1501	0	0	94	0	0	104;611	6105	100;50;25;12	8	100	1119	1121	0	0	101	1120
1121	21	城市21	8	11110;11111;11112;11113;11114;11115;11116;11117	344000	1197	2:740000;9002:50	0	0	1401	0	0	94	0	0	0	0	1202	0	0	0	0	95	0	0	1101	0	0	0	0	96	0	0	0	0	0	0	1501	0	96	0	0	0	0	1201	0	0	97	0	0	0	0	125;708	6103;5005	100;50;25;12	8	100	1120	1122	0	0	101	1121
1122	22	城市22	8	11118;11119;11120;11121;11122;11123;11124;11125	358000	1284	2:740000;9004:5	1101	0	0	0	97	0	0	0	0	0	0	1402	0	0	98	0	0	0	1102	0	0	0	0	0	98	0	0	0	0	0	1502	0	99	0	0	0	0	0	1401	0	100	0	0	0	0	125;708	6103	100;50;25;12	8	100	1121	1123	0	0	101	1122
1123	23	城市23	8	11126;11127;11128;11129;11130;11131;11132;11133	372000	1372	2:740000;9004:5	0	1201	0	0	100	0	0	0	0	1101	0	0	0	0	101	0	0	0	0	0	0	1502	0	0	102	0	0	1101	0	0	0	0	102	0	0	0	0	1202	0	0	0	0	103	0	0	150;813	6109;5005	100;50;25;12	8	100	1122	1124	0	0	101	1123
1124	24	城市24	8	11134;11135;11136;11137;11138;11139;11140;11141	389000	1460	2:960000;9002:50	0	0	1402	0	0	104	0	0	0	0	0	0	1501	0	104	0	0	0	0	0	0	1501	105	0	0	0	0	0	0	1402	0	0	0	106	0	0	0	1202	0	0	0	106	0	0	0	150;813	6109	100;50;25;12	8	100	1123	1125	0	0	101	1124
1125	25	城市25	8	11142;11143;11144;11145;11146;11147;11148;11149	408000	1479	2:960000;9004:5	1101	0	0	0	106	0	0	0	0	0	0	0	1502	0	0	107	0	0	0	1201	0	0	0	109	0	0	0	1101	0	0	0	109	0	0	0	0	0	0	1401	0	0	109	0	0	0	181;916	6102;5005	100;50;25;12	8	100	1124	1126	0	0	101	1125
1126	26	城市26	8	11150;11151;11152;11153;11154;11155;11156;11157	544000	1575	2:960000;9004:5	0	0	0	1502	0	0	110	0	0	1102	0	0	0	0	110	0	0	0	1101	0	0	0	0	0	110	0	0	0	0	1401	0	0	111	0	0	0	0	1201	0	0	113	0	0	0	0	181;916	6102	100;50;25;12	8	100	1125	1127	0	0	101	1126
1127	27	城市27	8	11158;11159;11160;11161;11162;11163;11164;11165	604000	1674	2:1140000;9002:50	1102	0	0	0	0	113	0	0	0	0	0	0	1502	0	0	114	0	0	0	1202	0	0	0	0	115	0	0	0	0	0	1501	0	116	0	0	0	0	0	1402	0	0	0	117	0	0	217;1013	6104;6103;5005	100;50;25;12	8	100	1126	1128	0	0	101	1127
1128	28	城市28	8	11166;11167;11168;11169;11170;11171;11172;11173	664000	1779	2:1140000;9004:5	1101	0	0	0	0	118	0	0	0	0	0	0	1501	119	0	0	0	0	0	0	1401	0	0	119	0	0	0	0	1202	0	0	0	0	119	0	0	1101	0	0	0	0	120	0	0	0	217;1013	6104;6109;	100;50;25;12	8	100	1127	1129	0	0	101	1128
1129	29	城市29	8	11174;11175;11176;11177;11178;11179;11180;11181	724000	2508	2:1140000;9004:5	0	0	0	1501	0	0	120	0	0	0	1201	0	0	121	0	0	0	0	1102	0	0	0	0	122	0	0	0	0	0	1401	0	0	0	122	0	0	1102	0	0	0	0	123	0	0	0	260;1116	6104;6102;5005	100;50;25;12	8	100	1128	1130	0	0	101	1129
1130	30	城市30	8	11182;11183;11184;11185;11186;11187;11188;11189	753000	2660	2:1350000;9002:50	0	0	0	1501	0	0	124	0	0	0	0	1401	0	0	124	0	0	0	0	1201	0	0	0	0	125	0	0	1101	0	0	0	0	0	125	0	0	0	0	0	1502	0	126	0	0	0	260;1116	6105;6103	100;50;25;12	8	100	1129	0	0	0	101	1130
