int	string	int	int[]	int	DTItemNum[]	int	DTBuildingReq[]	int	bool	int[]	string	string	int
id	建筑名称	建筑类型	开启功能	建筑等级	消耗材料	需求等级	前置建筑	街区档位需求	是否界面提示	效果	建筑作用	升级效果	楼层缩略图
id	zh_cn_name	type	function_open	level	cost	level_req	type_level	block_req	UI	effect_id	effect_tips	level_tips	building_small
1001	电影院	1	3	1	9001:10;2:100	1	1:0	1001	1	100101;100102	电影院作用	电影院效果	2201
1002	电影院	1	0	2	9001:10;2:100	1	1:1	1001	0	100201;100202	电影院作用	电影院效果	2201
1003	电影院	1	0	3	9001:10;2:100	1	1:2	1001	0	100301;100302	电影院作用	电影院效果	2201
1004	电影院	1	0	4	9001:10;2:100	10	1:3	1001	0	100401;100402	电影院作用	电影院效果	2201
1005	电影院	1	0	5	9001:10;2:100	10	1:4	1001	0	100501;100502	电影院作用	电影院效果	2201
1006	电影院	1	0	6	9001:10;2:100	10	1:5	1001	0	100601;100602	电影院作用	电影院效果	2201
1007	电影院	1	0	7	9001:10;2:100	20	1:6	1001	0	100701;100702	电影院作用	电影院效果	2201
1008	电影院	1	0	8	9001:10;2:100	20	1:7	1001	0	100801;100802	电影院作用	电影院效果	2201
1009	电影院	1	0	9	9001:10;2:100	20	1:8	1001	0	100901;100902	电影院作用	电影院效果	2201
1010	电影院	1	0	10	9001:10;2:100	40	1:9	1001	0	101001;101002	电影院作用	电影院效果	2201
1011	电影院	1	0	11	9001:10;2:100	40	1:10	1001	0	101101;101102	电影院作用	电影院效果	2201
1012	电影院	1	0	12	9001:10;2:100	40	1:11	1001	0	101201;101202	电影院作用	电影院效果	2201
1013	电影院	1	0	13	9001:10;2:100	60	1:12	1001	0	101301;101302	电影院作用	电影院效果	2201
1014	电影院	1	0	14	9001:10;2:100	60	1:13	1001	0	101401;101402	电影院作用	电影院效果	2201
1015	电影院	1	0	15	9001:10;2:100	60	1:14	1001	0	101501;101502	电影院作用	电影院效果	2201
1016	电影院	1	0	16	9001:10;2:100	80	1:15	1001	0	101601;101602	电影院作用	电影院效果	2201
1017	电影院	1	0	17	9001:10;2:100	80	1:16	1001	0	101701;101702	电影院作用	电影院效果	2201
1018	电影院	1	0	18	9001:10;2:100	80	1:17	1001	0	101801;101802	电影院作用	电影院效果	2201
1019	电影院	1	0	19	9001:10;2:100	100	1:18	1001	0	101901;101902	电影院作用	电影院效果	2201
1020	电影院	1	0	20	9001:10;2:100	100	1:19	1001	0	102001;102002	电影院作用	电影院效果	2201
2001	摄影棚	2	2	1	9001:10;2:100	1	2:0	1001	1	200101;200102;200103;200104;200105	摄影棚作用	摄影棚效果	2202
2002	摄影棚	2	0	2	9001:10;2:100	1	2:1	1001	0	200201;200202;200203;200204;200205	摄影棚作用	摄影棚效果	2202
2003	摄影棚	2	0	3	9001:10;2:100	1	2:2	1001	0	200301;200302;200303;200304;200305	摄影棚作用	摄影棚效果	2202
2004	摄影棚	2	0	4	9001:10;2:100	10	2:3	1001	0	200401;200402;200403;200404;200405	摄影棚作用	摄影棚效果	2202
2005	摄影棚	2	0	5	9001:10;2:100	10	2:4	1001	0	200501;200502;200503;200504;200505	摄影棚作用	摄影棚效果	2202
2006	摄影棚	2	0	6	9001:10;2:100	10	2:5	1001	0	200601;200602;200603;200604;200605	摄影棚作用	摄影棚效果	2202
2007	摄影棚	2	0	7	9001:10;2:100	20	2:6	1001	0	200701;200702;200703;200704;200705	摄影棚作用	摄影棚效果	2202
2008	摄影棚	2	0	8	9001:10;2:100	20	2:7	1001	0	200801;200802;200803;200804;200805	摄影棚作用	摄影棚效果	2202
2009	摄影棚	2	0	9	9001:10;2:100	20	2:8	1001	0	200901;200902;200903;200904;200905	摄影棚作用	摄影棚效果	2202
2010	摄影棚	2	0	10	9001:10;2:100	40	2:9	1001	0	201001;201002;201003;201004;201005	摄影棚作用	摄影棚效果	2202
2011	摄影棚	2	0	11	9001:10;2:100	40	2:10	1001	0	201101;201102;201103;201104;201105	摄影棚作用	摄影棚效果	2202
2012	摄影棚	2	0	12	9001:10;2:100	40	2:11	1001	0	201201;201202;201203;201204;201205	摄影棚作用	摄影棚效果	2202
2013	摄影棚	2	0	13	9001:10;2:100	60	2:12	1001	0	201301;201302;201303;201304;201305	摄影棚作用	摄影棚效果	2202
2014	摄影棚	2	0	14	9001:10;2:100	60	2:13	1001	0	201401;201402;201403;201404;201405	摄影棚作用	摄影棚效果	2202
2015	摄影棚	2	0	15	9001:10;2:100	60	2:14	1001	0	201501;201502;201503;201504;201505	摄影棚作用	摄影棚效果	2202
2016	摄影棚	2	0	16	9001:10;2:100	80	2:15	1001	0	201601;201602;201603;201604;201605	摄影棚作用	摄影棚效果	2202
2017	摄影棚	2	0	17	9001:10;2:100	80	2:16	1001	0	201701;201702;201703;201704;201705	摄影棚作用	摄影棚效果	2202
2018	摄影棚	2	0	18	9001:10;2:100	80	2:17	1001	0	201801;201802;201803;201804;201805	摄影棚作用	摄影棚效果	2202
2019	摄影棚	2	0	19	9001:10;2:100	100	2:18	1001	0	201901;201902;201903;201904;201905	摄影棚作用	摄影棚效果	2202
2020	摄影棚	2	0	20	9001:10;2:100	100	2:19	1001	0	202001;202002;202003;202004;202005	摄影棚作用	摄影棚效果	2202
3001	艺人教室	3	4	1	9004:10;2:100	1	3:0	1001	1	300101;300102	艺人教室作用	艺人教室效果	2203
3002	艺人教室	3	0	2	9004:10;2:100	1	3:1	1001	0	300201;300202	艺人教室作用	艺人教室效果	2203
3003	艺人教室	3	0	3	9004:10;2:100	1	3:2	1001	0	300301;300302	艺人教室作用	艺人教室效果	2203
3004	艺人教室	3	0	4	9004:10;2:100	10	3:3	1001	0	300401;300402	艺人教室作用	艺人教室效果	2203
3005	艺人教室	3	0	5	9004:10;2:100	10	3:4	1001	0	300501;300502	艺人教室作用	艺人教室效果	2203
3006	艺人教室	3	0	6	9004:10;2:100	10	3:5	1001	0	300601;300602	艺人教室作用	艺人教室效果	2203
3007	艺人教室	3	0	7	9004:10;2:100	20	3:6	1001	0	300701;300702	艺人教室作用	艺人教室效果	2203
3008	艺人教室	3	0	8	9004:10;2:100	20	3:7	1001	0	300801;300802	艺人教室作用	艺人教室效果	2203
3009	艺人教室	3	0	9	9004:10;2:100	20	3:8	1001	0	300901;300902	艺人教室作用	艺人教室效果	2203
3010	艺人教室	3	0	10	9004:10;2:100	40	3:9	1001	0	301001;301002	艺人教室作用	艺人教室效果	2203
3011	艺人教室	3	0	11	9004:10;2:100	40	3:10	1001	0	301101;301102	艺人教室作用	艺人教室效果	2203
3012	艺人教室	3	0	12	9004:10;2:100	40	3:11	1001	0	301201;301202	艺人教室作用	艺人教室效果	2203
3013	艺人教室	3	0	13	9004:10;2:100	60	3:12	1001	0	301301;301302	艺人教室作用	艺人教室效果	2203
3014	艺人教室	3	0	14	9004:10;2:100	60	3:13	1001	0	301401;301402	艺人教室作用	艺人教室效果	2203
3015	艺人教室	3	0	15	9004:10;2:100	60	3:14	1001	0	301501;301502	艺人教室作用	艺人教室效果	2203
3016	艺人教室	3	0	16	9004:10;2:100	80	3:15	1001	0	301601;301602	艺人教室作用	艺人教室效果	2203
3017	艺人教室	3	0	17	9004:10;2:100	80	3:16	1001	0	301701;301702	艺人教室作用	艺人教室效果	2203
3018	艺人教室	3	0	18	9004:10;2:100	80	3:17	1001	0	301801;301802	艺人教室作用	艺人教室效果	2203
3019	艺人教室	3	0	19	9004:10;2:100	100	3:18	1001	0	301901;301902	艺人教室作用	艺人教室效果	2203
3020	艺人教室	3	0	20	9004:10;2:100	100	3:19	1001	0	302001;302002	艺人教室作用	艺人教室效果	2203
4001	市场部	4	7	1	9002:10;2:100	10	4:0	1001	1	400101	市场部作用	市场部效果	2204
4002	市场部	4	0	2	9002:10;2:100	10	4:1	1001	0	400201	市场部作用	市场部效果	2204
4003	市场部	4	0	3	9002:10;2:100	10	4:2	1001	0	400301	市场部作用	市场部效果	2204
4004	市场部	4	0	4	9002:10;2:100	10	4:3	1001	0	400401	市场部作用	市场部效果	2204
4005	市场部	4	0	5	9002:10;2:100	10	4:4	1001	0	400501	市场部作用	市场部效果	2204
4006	市场部	4	0	6	9002:10;2:100	10	4:5	1001	0	400601	市场部作用	市场部效果	2204
4007	市场部	4	0	7	9002:10;2:100	20	4:6	1001	0	400701	市场部作用	市场部效果	2204
4008	市场部	4	0	8	9002:10;2:100	20	4:7	1001	0	400801	市场部作用	市场部效果	2204
4009	市场部	4	0	9	9002:10;2:100	20	4:8	1001	0	400901	市场部作用	市场部效果	2204
4010	市场部	4	0	10	9002:10;2:100	40	4:9	1001	0	401001	市场部作用	市场部效果	2204
4011	市场部	4	0	11	9002:10;2:100	40	4:10	1001	0	401101	市场部作用	市场部效果	2204
4012	市场部	4	0	12	9002:10;2:100	40	4:11	1001	0	401201	市场部作用	市场部效果	2204
4013	市场部	4	0	13	9002:10;2:100	60	4:12	1001	0	401301	市场部作用	市场部效果	2204
4014	市场部	4	0	14	9002:10;2:100	60	4:13	1001	0	401401	市场部作用	市场部效果	2204
4015	市场部	4	0	15	9002:10;2:100	60	4:14	1001	0	401501	市场部作用	市场部效果	2204
4016	市场部	4	0	16	9002:10;2:100	80	4:15	1001	0	401601	市场部作用	市场部效果	2204
4017	市场部	4	0	17	9002:10;2:100	80	4:16	1001	0	401701	市场部作用	市场部效果	2204
4018	市场部	4	0	18	9002:10;2:100	80	4:17	1001	0	401801	市场部作用	市场部效果	2204
4019	市场部	4	0	19	9002:10;2:100	100	4:18	1001	0	401901	市场部作用	市场部效果	2204
4020	市场部	4	0	20	9002:10;2:100	100	4:19	1001	0	402001	市场部作用	市场部效果	2204
5001	宣传部	5	5	1	9002:10;2:100	10	5:0	1001	1	500101;500102	宣传部作用	宣传部效果	2205
5002	宣传部	5	0	2	9002:10;2:100	10	5:1	1001	0	500201;500202	宣传部作用	宣传部效果	2205
5003	宣传部	5	0	3	9002:10;2:100	10	5:2	1001	0	500301;500302	宣传部作用	宣传部效果	2205
5004	宣传部	5	0	4	9002:10;2:100	10	5:3	1001	0	500401;500402	宣传部作用	宣传部效果	2205
5005	宣传部	5	0	5	9002:10;2:100	10	5:4	1001	0	500501;500502	宣传部作用	宣传部效果	2205
5006	宣传部	5	0	6	9002:10;2:100	10	5:5	1001	0	500601;500602	宣传部作用	宣传部效果	2205
5007	宣传部	5	0	7	9002:10;2:100	20	5:6	1001	0	500701;500702	宣传部作用	宣传部效果	2205
5008	宣传部	5	0	8	9002:10;2:100	20	5:7	1001	0	500801;500802	宣传部作用	宣传部效果	2205
5009	宣传部	5	0	9	9002:10;2:100	20	5:8	1001	0	500901;500902	宣传部作用	宣传部效果	2205
5010	宣传部	5	0	10	9002:10;2:100	40	5:9	1001	0	501001;501002	宣传部作用	宣传部效果	2205
5011	宣传部	5	0	11	9002:10;2:100	40	5:10	1001	0	501101;501102	宣传部作用	宣传部效果	2205
5012	宣传部	5	0	12	9002:10;2:100	40	5:11	1001	0	501201;501202	宣传部作用	宣传部效果	2205
5013	宣传部	5	0	13	9002:10;2:100	60	5:12	1001	0	501301;501302	宣传部作用	宣传部效果	2205
5014	宣传部	5	0	14	9002:10;2:100	60	5:13	1001	0	501401;501402	宣传部作用	宣传部效果	2205
5015	宣传部	5	0	15	9002:10;2:100	60	5:14	1001	0	501501;501502	宣传部作用	宣传部效果	2205
5016	宣传部	5	0	16	9002:10;2:100	80	5:15	1001	0	501601;501602	宣传部作用	宣传部效果	2205
5017	宣传部	5	0	17	9002:10;2:100	80	5:16	1001	0	501701;501702	宣传部作用	宣传部效果	2205
5018	宣传部	5	0	18	9002:10;2:100	80	5:17	1001	0	501801;501802	宣传部作用	宣传部效果	2205
5019	宣传部	5	0	19	9002:10;2:100	100	5:18	1001	0	501901;501902	宣传部作用	宣传部效果	2205
5020	宣传部	5	0	20	9002:10;2:100	100	5:19	1001	0	502001;502002	宣传部作用	宣传部效果	2205
6001	仓库	6	10	1	9003:10;2:100	1	6:0	1001	1	600101	仓库作用	仓库效果	2206
6002	仓库	6	0	2	9003:10;2:100	1	6:1	1001	0	600201	仓库作用	仓库效果	2206
6003	仓库	6	0	3	9003:10;2:100	1	6:2	1001	0	600301	仓库作用	仓库效果	2206
6004	仓库	6	0	4	9003:10;2:100	10	6:3	1001	0	600401	仓库作用	仓库效果	2206
6005	仓库	6	0	5	9003:10;2:100	10	6:4	1001	0	600501	仓库作用	仓库效果	2206
6006	仓库	6	0	6	9003:10;2:100	10	6:5	1001	0	600601	仓库作用	仓库效果	2206
6007	仓库	6	0	7	9003:10;2:100	20	6:6	1001	0	600701	仓库作用	仓库效果	2206
6008	仓库	6	0	8	9003:10;2:100	20	6:7	1001	0	600801	仓库作用	仓库效果	2206
6009	仓库	6	0	9	9003:10;2:100	20	6:8	1001	0	600901	仓库作用	仓库效果	2206
6010	仓库	6	0	10	9003:10;2:100	40	6:9	1001	0	601001	仓库作用	仓库效果	2206
6011	仓库	6	0	11	9003:10;2:100	40	6:10	1001	0	601101	仓库作用	仓库效果	2206
6012	仓库	6	0	12	9003:10;2:100	40	6:11	1001	0	601201	仓库作用	仓库效果	2206
6013	仓库	6	0	13	9003:10;2:100	60	6:12	1001	0	601301	仓库作用	仓库效果	2206
6014	仓库	6	0	14	9003:10;2:100	60	6:13	1001	0	601401	仓库作用	仓库效果	2206
6015	仓库	6	0	15	9003:10;2:100	60	6:14	1001	0	601501	仓库作用	仓库效果	2206
6016	仓库	6	0	16	9003:10;2:100	80	6:15	1001	0	601601	仓库作用	仓库效果	2206
6017	仓库	6	0	17	9003:10;2:100	80	6:16	1001	0	601701	仓库作用	仓库效果	2206
6018	仓库	6	0	18	9003:10;2:100	80	6:17	1001	0	601801	仓库作用	仓库效果	2206
